match 3
447,70,1042,1538
449,8300,2335,7600
451,7833,3149,9985
452,6448,5964,6676
453,1673,4371,7064
454,5035,5989,3280
455,5035,5989,3280
456,4667,3825,4589
457,5486,6742,9293
458,8177,6325,9351
459,6865,9181,3035
460,6865,9181,3035
461,2030,7737,703
462,4357,6476,9351
464,8727,6448,6676
465,8851,3713,519
466,9800,8654,3812
467,8759,8760,5372
470,1617,9332,3918
471,4273,4274,3102
473,1693,9839,8768
474,7321,2030,3841
476,4087,76,5918
477,3280,6251,4953
479,7836,7345,3481
480,5973,6502,9290
482,9687,6316,3825
485,4097,4911,1606
486,3825,5601,4589
487,3944,6655,3953
488,9687,6316,4018
489,5981,693,893
490,5981,693,893
493,6591,7718,7719
494,4910,6122,241
495,3624,6427,170
496,3707,4744,603
497,8759,8760,7380
499,1977,5915,5568
503,4715,725,7633
504,9651,2967,2968
509,7647,7648,4948
511,8120,2423,760
512,243,6986,1059
513,7487,4088,8120
514,806,5268,8909
515,3478,3938,2423
516,3478,9668,3525
517,3478,9668,3525
519,6270,4097,1606
520,2914,1503,442
521,2331,4213,2367
523,2511,4870,8114
524,9666,2322,3256
526,3022,5555,4408
527,3022,5555,4408
528,3022,5555,4408
529,3022,5555,4408
530,9747,159,6442
531,1170,1110,8295
532,6112,1109,7614
534,5012,8061,1819
536,1757,2810,3474
537,8544,4957,5429
538,7758,7759,9764
539,810,9483,1639
540,1005,1006,7234
543,8885,7349,44
544,8437,8768,2921
545,8386,4627,4628
546,3040,3459,5590
547,9346,291,292
548,3685,3686,9657
549,3685,3686,9657
550,8505,6417,1649
551,3700,8303,5694
553,2418,3533,933
561,8903,8325,156
562,7773,4804,2172
566,2926,561,7133
567,725,6491,421
568,9562,4150,5699
573,9459,7780,5660
574,262,6685,6019
575,4972,3303,2967
577,4018,4688,6264
578,3052,8325,5854
579,1344,7082,6441
581,6065,5989,5035
582,7159,1295,1296
583,5952,4399,1702
584,2423,3478,2187
585,28,7556,6759
586,5518,2779,9059
588,9254,7293,2748
589,9254,7293,2748
590,3818,1128,1129
591,7839,8664,8316
592,7055,6477,374
593,7055,6477,374
594,2423,4088,8120
595,243,7314,178
598,2580,2094,5582
599,2423,6283,1284
600,5842,5659,3596
601,8864,3938,8216
602,2866,241,4901
603,4744,221,9985
604,2513,1131,7491
605,5659,5842,2152
606,343,7908,57
608,8604,3916,5299
612,4861,9180,1004
614,2421,7141,2755
616,3463,7349,5750
618,7010,5261,1757
619,4907,6461,693
620,1471,1472,7807
621,1127,7275,7276
622,3572,2054,4580
623,6315,4551,2151
624,8197,2803,4321
626,6065,8669,8106
627,9363,8796,8061
628,7314,3949,3950
629,2007,6736,6493
630,3007,6235,7535
632,7995,9717,9718
633,8216,3938,6546
634,8216,3938,6546
635,1028,9587,5674
636,3525,3478,2857
638,199,5122,4761
639,241,9765,4910
640,7731,2036,328
644,8910,2532,9976
646,6119,4714,9077
650,8864,5280,7746
651,8300,9275,6165
654,165,4916,4301
655,5365,5366,7718
656,5953,7600,2502
658,8239,4627,4628
660,7872,583,1198
661,7119,3656,7342
664,7591,2271,6127
665,4279,101,3985
666,4279,101,3985
667,9583,4097,9526
670,9399,1374,5914
672,282,9641,1606
674,4800,8637,3957
675,6171,9315,6400
676,2029,1732,1733
677,6225,4909,3640
678,6225,4909,3640
681,3130,3131,4136
682,4559,8253,9946
683,9651,2725,175
684,6507,6451,684
685,8677,5581,2407
686,5793,5794,4627
687,5793,5794,4627
689,9098,8619,268
690,9098,8619,268
691,3938,2094,2580
692,8216,2511,8114
693,1288,9244,1731
697,6406,944,1267
698,6711,9192,4962
700,5771,7206,7691
701,9289,8628,656
702,1760,2433,2524
703,9450,7110,9187
705,9405,798,6317
706,416,2034,5696
707,5172,5595,9523
708,3525,3478,9668
710,946,4088,2423
711,5940,1589,4699
714,6279,9080,9081
715,6427,3624,9526
716,9646,9782,7626
717,9218,7015,7620
718,3938,2857,3478
722,2911,5051,1724
723,1925,244,443
725,4626,9639,5705
726,6130,7117,1162
727,4490,3092,4787
728,3355,3356,3357
729,9857,6872,9298
730,8677,4413,5581
731,3280,6251,4953
732,5964,6676,8727
733,1515,4593,550
734,9290,6502,1204
735,7119,8111,3124
736,766,8238,3040
737,7995,3832,4348
738,456,1660,6734
739,9298,7854,7855
740,1127,9423,4761
741,6661,5323,3092
742,6251,4953,1295
743,3691,3790,103
744,6251,4953,3280
745,4536,8822,2678
746,6056,2843,3481
749,8904,7780,2706
750,9018,4888,3504
752,1112,5489,6685
756,6389,2163,2164
757,2479,4490,235
758,4018,6888,7622
759,1793,3868,7333
760,3938,2094,8216
762,1512,6949,5076
764,1595,9946,7989
765,6567,4097,435
766,4943,1775,5195
767,4267,6722,9628
768,1607,2885,5122
769,8234,7718,7719
770,1651,5714,7141
772,6736,36,37
773,5959,5682,5327
774,5063,4318,1173
775,5568,9232,4645
776,2537,2538,2539
777,614,8944,1628
778,133,6953,6815
779,133,6953,6815
781,5894,8759,8760
783,5854,7526,9868
784,9026,6663,4580
785,2417,8413,6071
786,7189,8506,268
788,6183,4546,5964
789,6183,4546,5964
794,6100,7562,8197
795,2335,2418,6165
796,8615,6106,8782
798,4459,9720,3834
799,3040,583,1455
801,2635,4120,4121
803,1392,9521,7978
804,605,4744,5497
805,1476,4759,7306
